shellnoun,label_A,label_B,rating_A,rating_B,comment_A,comment_B
problem,L,L,1,1,,In meinen Augen 'lokal': Salienter Anztezedent direkt im vorangehenden Satz.
problem,L,L,1,4,,Eher 'lokal'. Antezedent ermittelbar. Aber doch Teil des Themas.
problem,G,G,4,4,generelle Referenz auf das Umweltproblem,"SN referiert hier eher auf das Thema, dass ja *scheinbar* der Klimawandel zu sein scheint."
problem,L,L,2,2,,"Tendenz zu 'lokal'. Salienter Antezedent existent. Zwar mit etwas Distanz, aber 'kognitiver Bezug' vorhanden. Thema ist viel mehr und durchaus abweichend davon, dass 'Kinder auswärts frühstücken et al.'."
problem,U,L,5,2,"ist zu nah am Textbeginn um zu sagen, wie weit der Skpous des Problems ist","Eher 'lokal'. Salienter Antezedent existent (direkt im Satz zuvor). Thema ist eher 'übergewichtige Mütter et al.', wohingegen Problem nur auf 'Übergewicht der Kinder' zu referieren scheint."
problem,L,U,1,5,,Unsicher. SN 'Problem' hier irgendwie unpassend.
issue,G,L,3,4,,"Schwer. Sehr schwer. Tendentiell 'lokal', geht es doch um die Spitzeleien als nur gerine Teilmenge des Themas als Ganzes. Man könnte 'Koreferenz' mit ""Spitzelaktionen"" vermuten, doch könnte man diese auch 'ganz allgemein' als Menge dieser Tätigkeiten auffassen, wohingegen 'Angelegenheit' dann auf die konkrete solche referiert. Die Distanz ist zwar groß, doch fehlt für 'global' zu viel vom Thema. Für mich zumindest."
issue,L,L,4,4,auf die katholische Angelegenheit?,"Tendenz zu 'lokal'. Grund: Thema des Textes ist hier eher der konkret vorliegende Missbrauchsfall. Referent von 'Angelegenheit' ist hier aber eher die Missbrauchsfälle der Kirche als solches, also 'der Skandal'."
issue,L,L,3,4,,"Wie so oft kann man argumentieren, dass 'Angelegenheit' hier auch 'global' sein könnte. Jedoch ist ein klarer Entezedent ermittelbar. Dieser ist zudem sehr salient, wird er doch direkt zuvor genannt. Doch das, was genannt wird, ist auch Thema des Textes. Es handelt sich jedoch nicht um eine 'nicht auflösbare Anapher'. Daher 'lokal'."
issue,U,G,5,3,durch wörtl. Rede keine klare Auflösung möglich,"'Angelegenheit' dürfte hier eher 'global' als 'lokal' sein, also auf das Thema des Textes verweisen. 'Angelegenheit' hier in direkter Rede, wobei das Thema des Textes erst noch folgt. Man könnte argumentieren, dass es lokal um die 'Einsparung' geht, aber auch das ist ja Teil des Themas. Zudem scheint es um alles zu gehen: Nicht nur um die Einsparung, sondern auch um das, was die Einsparungen nach sich ziehen. Man könnte wegen der direkten Rede und dem bis dato nicht genannten Thema zu 'unklar' [X] tendieren, doch auch dann stellt sich wieder die Frage: Was wäre mit der Kohärenz?"
issue,U,L,5,2,durchs Zitat nicht entscheidbar ob lokal oder global,In meinen Augon 'lokal'. 'Kognitiver Bezug' existent. Antezedent im Satz bzw. den Sätzen vorher zu finden.
issue,L,L,1,2,,In meinen Augen 'lokal'. Antezedent ermittelbar (im Satz vorher). 'Kognitiver Bezug' existent. Geringe Distanz.
issue,G,G,3,3,," Eher 'global', also auf das Thema des Textes beziehende Angelegenheit."
issue,L,U,5,5,,"Kann nicht eindeutig entscheiden, ob hier 'lokal' (Managergehälter) oder 'global' (Bankenkrise an sich) vorliegt."
issue,L,L,1,3,,"Es geht hier bei 'Angelegenheit' eher um die Freundschaft Berlusconis zu einer anderen Person. Das ist aber nur ein Teil des Themas -- wenn man das gesamte Interview betrachtet. Im reinen 'Frage-Antwort'-Abschnitt könnte man wohl zu 'global' tendieren, doch gibt es ja durchaus einen Referenten, den man ermitteln könnte (Freundschaft ... et al.)."
issue,L,L,2,3,,"Ich tendiere hier zu 'lokal'. Thema des Textes ist das Gespräch über die Veränderung der Welt in Bezug auf die Bedeutung jener Entwicklung für Gehörlose und Blinde. Hier scheint 'Angelegenheit' jedoch eher auf den Sachverhalt, dass das Tonaufnahmegerät bei der Kommunikation zwischen einem Blinden und einem Gehörlosen nicht sehr viel bringt zu referieren."
issue,G,U,2,5,,"Ich tendiere zwar hier zu 'lokal' doch könnte es sich auch auf das Thema i. e. S. beziehen, zumal 'die Freundschaft et al.' ja auch Teil des Themas ist. Eine halbwegs klare Entscheidung kann ich jedoch nicht treffen."
issue,L,L,4,4,,In meinen Augen referiert hier 'Angelegenheit' auf die 'Privatisierung der Bahn'. Das Thema des Textes ist aber mehr als nur das. Daher 'lokal'.
issue,L,U,2,5,,"Sehr schwer. Zuerst einmal ist 'Angelegenheit' in direkter Rede vorzufinden. Hinzu kommt, dass man 'Angelegenheit' mit 'die Verhaftung von X et al.' in Verbindung bringen könnte. Das wäre dann wohl 'lokal' im Sinne des gesamten Interviews, aber tendentiell 'global' im Sinne des Abschnittes bestehen aus 'Frage+Antwort'. Es gibt allerdings einen weiteren Punkt, der mich beschäftigt: Aus irgendwelchen Gründen habe ich das Gefühl, dass sich 'Angelegenheit' auf sehr viel mehr bezieht, nämlich den o. g. Fall *inklusive allem, was dazu gehört*, doch das wird ja nirgends genannt. Vielleicht liegt der Referent (ggf. auch in Form eines Themas, also ohne konkret ermittelbaren Antezedenten') daher auch außerhalb."
issue,L,U,3,5,"ist einige Sätze entfernt, aber noch lokal","Wirklich nicht einfach. 'Angelegenheit' könnte sich hier 'lokal' auf den Selbstmord beziehen. Es wäre dann wohl anaphorisch. Es könnte sich aber auch auf das Thema des Textes beziehen, *welches jedoch erst noch folgt*, also 'kataphorische Züge' hätte -- natürlich ohne konkreten Antezedenten, sondern dahingehend, dass das Thema i. e. S. erst noch folgt."
issue,G,G,4,3,,'Angelegenheit' hier in *indirekter* Rede. In meinen Augen hier mit Bezug auf das gesamte Thema des Textes.
issue,L,L,2,2,,'Angelegenheit' hier als Zusatz in Klammern. Antezedent eindeutig 'lokal' -- zumindest meiner Meinung nach.
issue,G,L,3,4,,"'Angelegenheit' hier in wörtlicher Rede. Thema des Textes ist eher die Geschichte um Wallace und Darwin. Bein Angelegenheit geht es aber um den zuvor geschilderten, konkreten Sachverhalt. Ich tendiere daher zu 'lokal', aber klar ist auch, dass 'unklar' [X] wohl auch in Betracht käme."
issue,G,G,1,3,,"Ich würde vermuten, dass 'Angelegenheit' sich hier auf das Thema des Textes als solches bezieht."
issue,U,U,5,4,durch wörtl. Rede nicht klar auflösbar,"'Angelegenheit' ist hier in direkter Rede. Es erscheint schwer, eine Beurteilung vorzunehmen. Einerseits scheint sich hier 'Angelegenheit' auf das Thema als solches zu beziehen. Andererseits ist dieses in den vorigen Sätzen beschrieben. Es gibt durchaus einen 'kognitiven Bezug'. Theoretisch *muss* Angelegenheit hier auf exakt den zuvor geschilderten Sachverhalt referieren. Ansonsten dürfte es wohl keine Kohärenz geben. Allerdings kann ich persönlich keine Kategorisierung wahrnehmen, die ich bei einer zweiten Sichtung des Textes konsistent ähnlich ausfallen würde. Daher unklar."
issue,G,G,1,2,,"Kein direkter, 'kognitiver Bezug' zu vorangehenden Sätzen. Es scheint hier eher das Thema des Textes zu sein, auf welches 'Angelegenheit' referiert."
